iata,icao,source
PUS,RKPP,https://www.boeing.com/commercial/noise/list.page
SEL,RKSS,https://www.boeing.com/commercial/noise/list.page
AEP,SABE,https://www.boeing.com/commercial/noise/list.page
GIG,SBGL,https://www.boeing.com/commercial/noise/list.page
DOM,TDPD,https://www.boeing.com/commercial/noise/list.page
SXM,TNCM,https://www.boeing.com/commercial/noise/list.page
BDA,TXKF,https://www.boeing.com/commercial/noise/list.page
GYD,UBBB,https://www.boeing.com/commercial/noise/list.page
TRK,WALR,https://www.boeing.com/commercial/noise/list.page
MEB,YMEN,https://www.boeing.com/commercial/noise/list.page
ADL,YPAD,https://www.boeing.com/commercial/noise/list.page
JAD,YPJT,https://www.boeing.com/commercial/noise/list.page
SYD,YSSY,https://www.boeing.com/commercial/noise/list.page
PEK,ZBAA,https://www.boeing.com/commercial/noise/list.page
CCR,ZZZZ,https://www.boeing.com/commercial/noise/list.page
