icao_id,iata,airport_name,mean_txo,std_deviation,10th_perc,median,90th_perc,source
LZIB,BTS,Bratislava Ivanka,9,4,5,9,14,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
MDPC,PUJ,Punta Cana,14,5,10,13,20,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
MMMX,MEX,Mexico City,21,7,15,20,30,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
MMUN,CUN,Cancun Intl,14,4,10,14,19,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
MUHA,HAV,Habana Intl/Jose Mar,16,4,12,15,20,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
OBBI,BAH,Bahrain?Intl,16,5,11,15,21,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
OEJN,JED,Jeddah,15,5,10,15,20,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
OERK,RUH,Riyadh King Khalid,17,5,12,16,22,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
OJAI,AMM,Amman/Queen Alia,13,4,10,12,17,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
OKBK,KWI,Kuwait,18,6,12,17,24,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
OLBA,BEY,Beirut,12,4,9,12,16,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
OMAA,AUH,Abu Dhabi Intl,17,4,12,16,22,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
OMDB,DXB,Dubai,17,5,12,16,22,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
OMSJ,SHJ,Sharjah,15,3,11,14,19,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
RJAA,NRT,New Tokyo,20,8,13,18,30,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
RJBB,KIX,Kansai Intl,15,4,11,14,19,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
SAEZ,EZE,Buenos Aires/Ezeiza,16,6,11,15,22,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
SBGL,GIG,Rio De Janeiro,19,7,12,18,28,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
