icao_id,iata,airport_name,mean_txi,std_deviation,10th_perc,median,90th_perc,source
LGKO,KGS,Kos,4,2,3,4,6,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
LGRP,RHO,Diagoras,5,2,3,5,7,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
LGSA,CHQ,Khania/Souda,5,2,3,5,7,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
LGSR,JTR,Santorini,5,2,3,5,7,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
LGTS,SKG,Makedonia,6,2,4,5,8,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
LGZA,ZTH,Zakinthos,5,2,3,5,6,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
LHBP,BUD,Budapest/Ferihegy,4,2,2,3,5,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
LICC,CTA,Catania Fontanarossa,5,2,3,5,7,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
LICJ,PMO,Palermo Punta Raisi,6,2,4,5,10,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
LIMC,MXP,Milan/Malpensa,6,3,3,5,10,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
LIME,BGY,Bergamo/Orio Alserio,5,2,3,5,5,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
LIPZ,VCE,Venice/Tessera,5,2,3,5,6,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
LIRF,FCO,Rome/Fiumicino,8,3,5,8,11,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
LIRN,NAP,Napoli Capodichino,4,2,3,5,6,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
LKPR,PRG,Prague/Ruzyne,5,2,3,5,7,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
LKTB,BRQ,Brno Turany,5,1,3,5,6,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
LLBG,TLV,Tel Aviv/Ben Gurion,6,3,4,6,9,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
LMML,MLA,Malta/Luqa,4,2,2,3,5,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
LOWW,VIE,Vienna,6,2,3,6,9,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
LPFR,FAO,Faro,4,2,3,4,6,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
LPLA,TER,Lajes Terceira,4,2,2,4,6,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
LPPR,OPO,Porto,5,2,3,5,7,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
LPPT,LIS,Lisbon,5,2,3,5,7,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
LROP,OTP,Otopeni?Intl.,7,2,5,7,9,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
LSGG,GVA,Geneva,4,1,2,3,5,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
LSZH,ZRH,Zurich,5,2,3,5,8,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
LTAC,ESB,Ankara?Esenboga,7,2,4,7,9,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
LTAF,ADA,Adana?Sakirpasa,6,2,4,5,8,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
LTAI,AYT,Antalya,7,3,4,7,10,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
LTAJ,GZT,Gaziantep,5,1,5,5,5,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
LTBA,IST,Istanbul/Ataturk,8,4,4,7,12,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
LTBJ,ADB,Izmir?Adnan?Menderes,5,2,4,5,7,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
LTBS,DLM,Mugla?Dalaman,5,2,4,5,8,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
LTFE,BJV,Milas/Bodrum,6,2,3,5,9,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
LUKK,KIV,Kishinev,5,2,3,4,7,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
LWSK,SKP,Skopje,5,1,4,5,6,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
LYBE,BEG,Surcin?Beograd,5,2,3,5,7,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
LZIB,BTS,Bratislava Ivanka,5,2,3,5,6,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
MDPC,PUJ,Punta Cana,5,5,3,4,8,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
MMMX,MEX,Mexico City,9,3,5,8,12,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
MMUN,CUN,Cancun Intl,7,6,3,5,11,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
MUHA,HAV,Habana Intl/Jose Mar,7,4,4,5,10,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
OBBI,BAH,Bahrain?Intl,6,3,3,5,8,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
OEJN,JED,Jeddah,12,6,9,11,17,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
OERK,RUH,Riyadh King Khalid,7,4,4,6,11,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
OJAI,AMM,Amman/Queen Alia,7,2,5,7,10,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
OKBK,KWI,Kuwait,9,5,5,8,14,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
OLBA,BEY,Beirut,5,2,4,5,8,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
OMAA,AUH,Abu Dhabi Intl,6,3,4,5,9,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
OMDB,DXB,Dubai,10,4,5,10,15,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
RJAA,NRT,New Tokyo,10,5,5,8,17,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
RJBB,KIX,Kansai Intl,6,2,3,5,8,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
SAEZ,EZE,Buenos Aires/Ezeiza,7,3,5,7,10,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
SBGL,GIG,Rio De Janeiro,11,4,8,11,15,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
SBGR,GRU,Sao Paulo,9,3,6,9,12,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
SPIM,LIM,Lima Intl/Chavez,4,2,2,4,7,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
SVMI,CCS,Caracas Maiquetia,7,3,5,7,10,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
UAAA,ALA,Alma Ata,9,3,5,10,13,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
